A1,#genre#
无线亚剧台,http://129.146.141.210:8080/stream/4gtv/mytvsuper/master.m3u8
无线娱乐台,http://129.146.141.210:8080/stream/4gtv/null-2/master.m3u8
无线粤片台,http://129.146.141.210:8080/stream/4gtv/null-9/master.m3u8
无线综合台,http://129.146.141.210:8080/stream/4gtv/mytvsuper18/master.m3u8
无线综合台,http://129.146.141.210:8080/stream/4gtv/null-7/master.m3u8
中国电影台,http://129.146.141.210:8080/stream/4gtv/null-14/master.m3u8

G1,#genre#
Tvbs新闻台,http://8.217.97.98:8080/stream/4gtv/null-19/master.m3u8
凤凰香港台,http://8.217.97.98:8080/stream/4gtv/null-5/master.m3u8
凤凰中文,http://8.217.97.98:8080/stream/4gtv/null-3/master.m3u8
凤凰资讯,http://8.217.97.98:8080/stream/4gtv/null-4/master.m3u8
黄金华剧台,http://8.217.97.98:8080/stream/4gtv/null-11/master.m3u8
美亚电影台,http://8.217.97.98:8080/stream/4gtv/hk/master.m3u8
天映经典台,http://8.217.97.98:8080/stream/4gtv/null-13/master.m3u8
无线华剧台,http://8.217.97.98:8080/stream/4gtv/null-8/master.m3u8
无线明珠台,http://8.217.97.98:8080/stream/4gtv/null-1/master.m3u8
无线plus台,http://8.217.97.98:8080/stream/4gtv/tvbplus/master.m3u8
无线新闻台,http://8.217.97.98:8080/stream/4gtv/null/master.m3u8
无线亚剧台,http://8.217.97.98:8080/stream/4gtv/mytvsuper/master.m3u8
无线粤片台,http://8.217.97.98:8080/stream/4gtv/null-9/master.m3u8
无线综合台,http://8.217.97.98:8080/stream/4gtv/mytvsuper18/master.m3u8
无线综合台,http://8.217.97.98:8080/stream/4gtv/null-7/master.m3u8

H1,#genre#
成武综艺,http://117.72.68.25:9930/qilu.php?id=hzcwzy
定陶新闻,http://117.72.68.25:9930/qilu.php?id=hzdt1
东阿综艺,http://117.72.68.25:9930/qilu.php?id=lcdezy
都昌新闻,http://117.72.68.25:9930/jxtv.php?id=21
福建旅游,http://117.72.68.25:9930/fujian.php?id=8
高唐综艺,http://117.72.68.25:9930/qilu.php?id=lcgtzy
广州新闻,http://117.72.68.25:9930/gztv.php?id=gzxw
寒亭新闻,http://117.72.68.25:9930/qilu.php?id=wfhtxw
河南新闻,http://117.72.68.25:9930/hn.php?id=hnxw
巨野新闻,http://117.72.68.25:9930/qilu.php?id=hzjyxw
牡丹区综艺,http://117.72.68.25:9930/qilu.php?id=hzmdzy
蓬莱综艺,http://117.72.68.25:9930/qilu.php?id=ytplzy
